id,gender,region,age
1,1,"zilinsky kraj, zilina",26
2,0,"zilinsky kraj, kysucke nove mesto",0
3,1,"bratislavsky kraj, bratislava - karlova ves",29
4,0,"banskobystricky kraj, brezno",26
5,1,"zilinsky kraj, zilina",26
6,0,"zilinsky kraj, zilina",38
7,0,"zilinsky kraj, martin",22
8,1,"trenciansky kraj, ilava",26
9,0,"banskobystricky kraj, brezno",0
10,0,"zilinsky kraj, cadca",22
11,0,"banskobystricky kraj, brezno",22
12,1,"banskobystricky kraj, brezno",26
13,0,"banskobystricky kraj, brezno",0
14,0,"nitriansky kraj, nitra",0
15,1,"zilinsky kraj, zilina",26
16,1,"zilinsky kraj, kysucke nove mesto",23
17,0,"zilinsky kraj, martin",27
18,1,"zilinsky kraj, kysucke nove mesto",18
19,1,"zilinsky kraj, kysucke nove mesto",21
20,0,"zilinsky kraj, kysucke nove mesto",20
21,0,"zilinsky kraj, cadca",17
22,0,"zilinsky kraj, kysucke nove mesto",19
23,0,"zahranicie, zahranicie - francuzsko",0
24,1,"zilinsky kraj, kysucke nove mesto",26
25,0,"zilinsky kraj, kysucke nove mesto",20
26,0,"zilinsky kraj, cadca",21
27,1,"zilinsky kraj, zilina",23
28,1,"zilinsky kraj, cadca",19
29,0,"zilinsky kraj, kysucke nove mesto",19
30,1,"zilinsky kraj, kysucke nove mesto",21
31,1,"zilinsky kraj, kysucke nove mesto",24
32,1,"zilinsky kraj, kysucke nove mesto",21
33,1,"zilinsky kraj, kysucke nove mesto",22
34,1,"zilinsky kraj, zilina",23
35,0,"zilinsky kraj, kysucke nove mesto",21
36,1,"zilinsky kraj, kysucke nove mesto",28
37,1,"zilinsky kraj, kysucke nove mesto",20
38,1,"zilinsky kraj, zilina",22
39,1,"zilinsky kraj, zilina",18
40,1,"zilinsky kraj, kysucke nove mesto",0
41,1,"zilinsky kraj, zilina",16
42,1,"zilinsky kraj, zilina",22
43,1,"zilinsky kraj, kysucke nove mesto",19
44,1,"zilinsky kraj, kysucke nove mesto",0
45,0,"zilinsky kraj, cadca",21
46,0,"zilinsky kraj, kysucke nove mesto",21
47,0,"zilinsky kraj, kysucke nove mesto",19
48,1,"zahranicie, zahranicie - ostatne",0
49,1,"zilinsky kraj, kysucke nove mesto",23
50,0,"zilinsky kraj, zilina",0
51,1,"zilinsky kraj, kysucke nove mesto",21
52,1,"zilinsky kraj, kysucke nove mesto",22
53,1,"zilinsky kraj, kysucke nove mesto",20
54,1,"zilinsky kraj, kysucke nove mesto",0
55,0,"zilinsky kraj, kysucke nove mesto",21
56,0,"zilinsky kraj, kysucke nove mesto",19
57,0,"zilinsky kraj, kysucke nove mesto",19
58,0,"zilinsky kraj, kysucke nove mesto",0
59,1,"zilinsky kraj, kysucke nove mesto",22
60,0,"zilinsky kraj, cadca",19
61,0,"zilinsky kraj, zilina",23
62,1,"zilinsky kraj, kysucke nove mesto",22
63,0,"zilinsky kraj, kysucke nove mesto",0
64,1,"zilinsky kraj, kysucke nove mesto",0
65,1,"zilinsky kraj, martin",0
66,0,"zilinsky kraj, zilina",0
67,1,"zilinsky kraj, zilina",23
68,0,"zilinsky kraj, kysucke nove mesto",0
69,1,"zilinsky kraj, kysucke nove mesto",22
70,0,"zilinsky kraj, kysucke nove mesto",0
71,1,"zilinsky kraj, kysucke nove mesto",22
72,0,"zilinsky kraj, kysucke nove mesto",19
73,0,"zilinsky kraj, zilina",18
74,0,"zilinsky kraj, kysucke nove mesto",27
75,1,"zilinsky kraj, kysucke nove mesto",0
76,1,"zilinsky kraj, bytca",0
77,1,"zilinsky kraj, zilina",23
78,1,"zilinsky kraj, kysucke nove mesto",20
79,1,"zilinsky kraj, kysucke nove mesto",23
80,0,"zahranicie, zahranicie - ostatne",24
81,1,"zilinsky kraj, kysucke nove mesto",25
82,0,"zilinsky kraj, kysucke nove mesto",20
83,0,"zilinsky kraj, kysucke nove mesto",20
84,0,"trenciansky kraj, prievidza",19
85,0,"zilinsky kraj, kysucke nove mesto",21
86,1,"zilinsky kraj, kysucke nove mesto",24
87,1,"zilinsky kraj, zilina",23
88,0,"zilinsky kraj, zilina",18
89,1,"zahranicie, zahranicie - ostatne",19
90,0,"zilinsky kraj, cadca",18
91,1,"zilinsky kraj, zilina",23
92,0,"zilinsky kraj, kysucke nove mesto",22
93,1,"zilinsky kraj, kysucke nove mesto",21
94,1,"zahranicie, zahranicie - nemecko",20
95,1,"zilinsky kraj, zilina",23
96,0,"zilinsky kraj, kysucke nove mesto",21
97,1,"zahranicie, zahranicie - australia",23
98,0,"zilinsky kraj, zilina",0
99,0,"zilinsky kraj, kysucke nove mesto",18
100,0,"zilinsky kraj, kysucke nove mesto",21
101,1,"zilinsky kraj, zilina",20
102,1,"zilinsky kraj, cadca",0
103,1,"zilinsky kraj, cadca",0
104,1,"zahranicie, zahranicie - gb",0
105,1,"zilinsky kraj, kysucke nove mesto",23
106,1,"zilinsky kraj, kysucke nove mesto",22
107,1,"zilinsky kraj, kysucke nove mesto",24
108,1,"zilinsky kraj, kysucke nove mesto",0
109,0,"zilinsky kraj, zilina",0
110,0,"zilinsky kraj, kysucke nove mesto",21
111,1,"zilinsky kraj, kysucke nove mesto",18
112,1,"zilinsky kraj, kysucke nove mesto",21
113,1,"zilinsky kraj, kysucke nove mesto",22
114,1,"zahranicie, zahranicie - kanada",0
115,1,"zilinsky kraj, kysucke nove mesto",20
116,1,"zilinsky kraj, bytca",19
117,1,"zilinsky kraj, kysucke nove mesto",21
118,1,"zilinsky kraj, kysucke nove mesto",29
119,0,"zilinsky kraj, kysucke nove mesto",20
120,1,"zilinsky kraj, zilina",0
121,1,"zahranicie, zahranicie - usa",0
122,1,"zilinsky kraj, zilina",0
123,1,"zilinsky kraj, zilina",21
124,1,"zilinsky kraj, kysucke nove mesto",21
125,1,"zilinsky kraj, kysucke nove mesto",0
126,1,"zilinsky kraj, kysucke nove mesto",0
127,1,"zilinsky kraj, kysucke nove mesto",21
128,1,"zilinsky kraj, rajec",21
129,0,"zilinsky kraj, kysucke nove mesto",19
130,1,"zilinsky kraj, kysucke nove mesto",21
131,1,"zilinsky kraj, kysucke nove mesto",22
132,1,"zahranicie, zahranicie - ostatne",23
133,1,"zilinsky kraj, kysucke nove mesto",22
134,1,"zilinsky kraj, kysucke nove mesto",21
135,0,"zilinsky kraj, kysucke nove mesto",21
136,1,"zilinsky kraj, zilina",22
137,0,"zilinsky kraj, kysucke nove mesto",20
138,0,"trnavsky kraj, galanta",29
139,1,"zahranicie, zahranicie - ostatne",0
140,0,"zilinsky kraj, kysucke nove mesto",21
141,0,"zilinsky kraj, zilina",23
142,1,"zilinsky kraj, kysucke nove mesto",20
143,0,"zilinsky kraj, kysucke nove mesto",21
144,1,"zahranicie, zahranicie - francuzsko",22
145,1,"zahranicie, zahranicie - francuzsko",21
146,0,"zilinsky kraj, kysucke nove mesto",20
147,0,"zilinsky kraj, kysucke nove mesto",0
148,1,"zilinsky kraj, kysucke nove mesto",0
149,1,"zilinsky kraj, kysucke nove mesto",27
150,1,"zilinsky kraj, kysucke nove mesto",20
151,1,"zahranicie, zahranicie - ostatne",0
152,0,"zilinsky kraj, kysucke nove mesto",22
153,1,"zilinsky kraj, kysucke nove mesto",21
